season,md,home_team,away_team,home_goals,away_goals
1963/1964,1,1. FC Saarbrücken,1. FC Cologne,0,2
1963/1964,1,TSV 1860 München,Eintracht Braunschweig,1,1
1963/1964,1,Eintracht Frankfurt,1. FC Kaiserslautern,1,1
1963/1964,1,FC Schalke 04,VfB Stuttgart,2,0
1963/1964,1,SC Preußen Münster,Hamburger SV,1,1
1963/1964,1,Karlsruher SC,Meidericher SV,1,4
1963/1964,1,SV Werder Bremen,Borussia Dortmund,3,2
1963/1964,1,Hertha BSC,1. FC Nürnberg,1,1
1963/1964,2,Eintracht Braunschweig,SC Preußen Münster,1,0
1963/1964,2,Meidericher SV,Eintracht Frankfurt,3,1
1963/1964,2,VfB Stuttgart,Hertha BSC,2,0
1963/1964,2,1. FC Kaiserslautern,FC Schalke 04,2,3
1963/1964,2,1. FC Cologne,Karlsruher SC,4,0
1963/1964,2,1. FC Nürnberg,SV Werder Bremen,3,0
1963/1964,2,Hamburger SV,1. FC Saarbrücken,4,2
1963/1964,2,Borussia Dortmund,TSV 1860 München,3,3
1963/1964,3,Eintracht Frankfurt,1. FC Nürnberg,2,3
1963/1964,3,Karlsruher SC,Hamburger SV,0,4
1963/1964,3,FC Schalke 04,Borussia Dortmund,3,1
1963/1964,3,SV Werder Bremen,VfB Stuttgart,2,2
1963/1964,3,Hertha BSC,1. FC Kaiserslautern,2,2
1963/1964,3,SC Preußen Münster,Meidericher SV,4,2
1963/1964,3,1. FC Saarbrücken,Eintracht Braunschweig,2,2
1963/1964,3,TSV 1860 München,1. FC Cologne,1,3
1963/1964,4,Eintracht Braunschweig,Karlsruher SC,2,0
1963/1964,4,1. FC Nürnberg,SC Preußen Münster,2,2
1963/1964,4,1. FC Cologne,FC Schalke 04,2,2
1963/1964,4,Hamburger SV,Eintracht Frankfurt,3,0
1963/1964,4,VfB Stuttgart,TSV 1860 München,1,1
1963/1964,4,Borussia Dortmund,1. FC Saarbrücken,2,1
1963/1964,4,Meidericher SV,Hertha BSC,1,3
1963/1964,4,1. FC Kaiserslautern,SV Werder Bremen,3,0
1963/1964,5,SV Werder Bremen,Meidericher SV,1,1
1963/1964,5,SC Preußen Münster,VfB Stuttgart,4,2
1963/1964,5,FC Schalke 04,Hamburger SV,1,0
1963/1964,5,1. FC Saarbrücken,1. FC Nürnberg,3,5
1963/1964,5,Hertha BSC,1. FC Cologne,0,3
1963/1964,5,Karlsruher SC,Borussia Dortmund,1,3
1963/1964,5,Eintracht Frankfurt,Eintracht Braunschweig,3,0
1963/1964,5,TSV 1860 München,1. FC Kaiserslautern,3,0
1963/1964,6,Meidericher SV,TSV 1860 München,3,0
1963/1964,6,1. FC Kaiserslautern,SC Preußen Münster,0,0
1963/1964,6,VfB Stuttgart,1. FC Saarbrücken,3,1
1963/1964,6,1. FC Nürnberg,Karlsruher SC,2,4
1963/1964,6,1. FC Cologne,SV Werder Bremen,4,3
1963/1964,6,Eintracht Braunschweig,FC Schalke 04,4,3
1963/1964,6,Borussia Dortmund,Eintracht Frankfurt,3,0
1963/1964,6,Hamburger SV,Hertha BSC,5,1
1963/1964,7,Hertha BSC,Eintracht Braunschweig,1,2
1963/1964,7,Eintracht Frankfurt,1. FC Cologne,2,1
1963/1964,7,TSV 1860 München,1. FC Nürnberg,5,0
1963/1964,7,Karlsruher SC,VfB Stuttgart,0,3
1963/1964,7,FC Schalke 04,Meidericher SV,2,2
1963/1964,7,1. FC Saarbrücken,1. FC Kaiserslautern,2,4
1963/1964,7,SV Werder Bremen,Hamburger SV,4,2
1963/1964,7,SC Preußen Münster,Borussia Dortmund,1,2
1963/1964,8,Eintracht Braunschweig,SV Werder Bremen,1,1
1963/1964,8,1. FC Kaiserslautern,Karlsruher SC,1,0
1963/1964,8,1. FC Nürnberg,FC Schalke 04,0,2
1963/1964,8,Borussia Dortmund,Hertha BSC,7,2
1963/1964,8,VfB Stuttgart,Eintracht Frankfurt,0,0
1963/1964,8,1. FC Cologne,SC Preußen Münster,3,0
1963/1964,8,Hamburger SV,TSV 1860 München,5,0
1963/1964,8,Meidericher SV,1. FC Saarbrücken,3,1
1963/1964,9,1. FC Saarbrücken,Karlsruher SC,1,3
1963/1964,9,Hertha BSC,Eintracht Frankfurt,1,3
1963/1964,9,SC Preußen Münster,TSV 1860 München,0,0
1963/1964,9,1. FC Nürnberg,1. FC Kaiserslautern,0,5
1963/1964,9,1. FC Cologne,Meidericher SV,3,3
1963/1964,9,Hamburger SV,Eintracht Braunschweig,2,1
1963/1964,9,VfB Stuttgart,Borussia Dortmund,2,1
1963/1964,9,FC Schalke 04,SV Werder Bremen,2,3
1963/1964,10,Eintracht Frankfurt,FC Schalke 04,4,2
1963/1964,10,Eintracht Braunschweig,1. FC Cologne,1,1
1963/1964,10,Karlsruher SC,SC Preußen Münster,4,2
1963/1964,10,Borussia Dortmund,1. FC Nürnberg,3,1
1963/1964,10,SV Werder Bremen,Hertha BSC,2,2
1963/1964,10,TSV 1860 München,1. FC Saarbrücken,7,1
1963/1964,10,1. FC Kaiserslautern,VfB Stuttgart,1,3
1963/1964,10,Meidericher SV,Hamburger SV,4,0
1963/1964,11,Borussia Dortmund,1. FC Kaiserslautern,9,3
1963/1964,11,SV Werder Bremen,Eintracht Frankfurt,4,1
1963/1964,11,TSV 1860 München,Karlsruher SC,1,0
1963/1964,11,1. FC Cologne,Hamburger SV,4,1
1963/1964,11,Eintracht Braunschweig,Meidericher SV,0,0
1963/1964,11,1. FC Saarbrücken,SC Preußen Münster,1,1
1963/1964,11,VfB Stuttgart,1. FC Nürnberg,1,0
1963/1964,11,FC Schalke 04,Hertha BSC,1,0
1963/1964,12,Karlsruher SC,SV Werder Bremen,1,1
1963/1964,12,1. FC Kaiserslautern,Eintracht Braunschweig,2,1
1963/1964,12,Eintracht Frankfurt,TSV 1860 München,5,2
1963/1964,12,1. FC Nürnberg,1. FC Cologne,2,2
1963/1964,12,Hamburger SV,VfB Stuttgart,1,1
1963/1964,12,Meidericher SV,Borussia Dortmund,3,3
1963/1964,12,SC Preußen Münster,FC Schalke 04,2,2
1963/1964,12,Hertha BSC,1. FC Saarbrücken,3,2
1963/1964,13,1. FC Nürnberg,Meidericher SV,2,0
1963/1964,13,Eintracht Frankfurt,SC Preußen Münster,3,0
1963/1964,13,SV Werder Bremen,1. FC Saarbrücken,0,3
1963/1964,13,VfB Stuttgart,Eintracht Braunschweig,5,0
1963/1964,13,1. FC Kaiserslautern,Hamburger SV,3,2
1963/1964,13,Hertha BSC,Karlsruher SC,2,3
1963/1964,13,FC Schalke 04,TSV 1860 München,2,1
1963/1964,13,Borussia Dortmund,1. FC Cologne,2,3
1963/1964,14,Meidericher SV,VfB Stuttgart,3,0
1963/1964,14,Karlsruher SC,FC Schalke 04,1,1
1963/1964,14,Hamburger SV,Borussia Dortmund,2,1
1963/1964,14,Eintracht Braunschweig,1. FC Nürnberg,2,0
1963/1964,14,1. FC Cologne,1. FC Kaiserslautern,5,1
1963/1964,14,1. FC Saarbrücken,Eintracht Frankfurt,0,4
1963/1964,14,TSV 1860 München,Hertha BSC,1,2
1963/1964,14,SC Preußen Münster,SV Werder Bremen,1,3
1963/1964,15,VfB Stuttgart,1. FC Cologne,0,1
1963/1964,15,FC Schalke 04,1. FC Saarbrücken,4,1
1963/1964,15,Hertha BSC,SC Preußen Münster,2,0
1963/1964,15,1. FC Nürnberg,Hamburger SV,3,2
1963/1964,15,Eintracht Frankfurt,Karlsruher SC,0,3
1963/1964,15,SV Werder Bremen,TSV 1860 München,4,1
1963/1964,15,1. FC Kaiserslautern,Meidericher SV,1,1
1963/1964,15,Borussia Dortmund,Eintracht Braunschweig,3,0
1963/1964,16,1. FC Kaiserslautern,Eintracht Frankfurt,1,1
1963/1964,16,Borussia Dortmund,SV Werder Bremen,4,3
1963/1964,16,1. FC Cologne,1. FC Saarbrücken,1,3
1963/1964,16,Hamburger SV,SC Preußen Münster,5,0
1963/1964,16,Meidericher SV,Karlsruher SC,2,0
1963/1964,16,1. FC Nürnberg,Hertha BSC,2,3
1963/1964,16,Eintracht Braunschweig,TSV 1860 München,0,1
1963/1964,16,VfB Stuttgart,FC Schalke 04,2,0
1963/1964,17,SV Werder Bremen,1. FC Nürnberg,2,1
1963/1964,17,SC Preußen Münster,Eintracht Braunschweig,0,2
1963/1964,17,Hertha BSC,VfB Stuttgart,0,2
1963/1964,17,FC Schalke 04,1. FC Kaiserslautern,4,0
1963/1964,17,Karlsruher SC,1. FC Cologne,2,2
1963/1964,17,TSV 1860 München,Borussia Dortmund,6,1
1963/1964,17,1. FC Saarbrücken,Hamburger SV,1,1
1963/1964,17,Eintracht Frankfurt,Meidericher SV,2,2
1963/1964,18,Borussia Dortmund,FC Schalke 04,3,0
1963/1964,18,Meidericher SV,SC Preußen Münster,0,0
1963/1964,18,1. FC Kaiserslautern,Hertha BSC,3,0
1963/1964,18,Eintracht Braunschweig,1. FC Saarbrücken,3,1
1963/1964,18,VfB Stuttgart,SV Werder Bremen,2,0
1963/1964,18,1. FC Nürnberg,Eintracht Frankfurt,1,0
1963/1964,18,1. FC Cologne,TSV 1860 München,2,2
1963/1964,18,Hamburger SV,Karlsruher SC,1,1
1963/1964,19,1. FC Saarbrücken,Borussia Dortmund,2,1
1963/1964,19,Eintracht Frankfurt,Hamburger SV,2,2
1963/1964,19,Hertha BSC,Meidericher SV,5,2
1963/1964,19,TSV 1860 München,VfB Stuttgart,1,1
1963/1964,19,SC Preußen Münster,1. FC Nürnberg,0,1
1963/1964,19,SV Werder Bremen,1. FC Kaiserslautern,2,0
1963/1964,19,Karlsruher SC,Eintracht Braunschweig,3,1
1963/1964,19,FC Schalke 04,1. FC Cologne,2,3
1963/1964,20,Hamburger SV,FC Schalke 04,3,1
1963/1964,20,1. FC Nürnberg,1. FC Saarbrücken,2,0
1963/1964,20,Borussia Dortmund,Karlsruher SC,3,2
1963/1964,20,1. FC Kaiserslautern,TSV 1860 München,2,1
1963/1964,20,Eintracht Braunschweig,Eintracht Frankfurt,0,3
1963/1964,20,VfB Stuttgart,SC Preußen Münster,0,3
1963/1964,20,1. FC Cologne,Hertha BSC,3,1
1963/1964,20,Meidericher SV,SV Werder Bremen,1,0
1963/1964,21,Karlsruher SC,1. FC Nürnberg,1,3
1963/1964,21,TSV 1860 München,Meidericher SV,0,0
1963/1964,21,1. FC Saarbrücken,VfB Stuttgart,0,1
1963/1964,21,Eintracht Frankfurt,Borussia Dortmund,2,1
1963/1964,21,SV Werder Bremen,1. FC Cologne,1,1
1963/1964,21,SC Preußen Münster,1. FC Kaiserslautern,1,0
1963/1964,21,Hertha BSC,Hamburger SV,1,2
1963/1964,21,FC Schalke 04,Eintracht Braunschweig,2,0
1963/1964,22,1. FC Kaiserslautern,1. FC Saarbrücken,2,4
1963/1964,22,Borussia Dortmund,SC Preußen Münster,0,0
1963/1964,22,Meidericher SV,FC Schalke 04,3,0
1963/1964,22,VfB Stuttgart,Karlsruher SC,4,1
1963/1964,22,1. FC Nürnberg,TSV 1860 München,2,2
1963/1964,22,Hamburger SV,SV Werder Bremen,1,1
1963/1964,22,1. FC Cologne,Eintracht Frankfurt,1,1
1963/1964,22,Eintracht Braunschweig,Hertha BSC,1,1
1963/1964,23,SC Preußen Münster,1. FC Cologne,0,2
1963/1964,23,FC Schalke 04,1. FC Nürnberg,4,1
1963/1964,23,Eintracht Frankfurt,VfB Stuttgart,3,2
1963/1964,23,1. FC Saarbrücken,Meidericher SV,0,2
1963/1964,23,Karlsruher SC,1. FC Kaiserslautern,5,1
1963/1964,23,Hertha BSC,Borussia Dortmund,0,0
1963/1964,23,TSV 1860 München,Hamburger SV,9,2
1963/1964,23,SV Werder Bremen,Eintracht Braunschweig,2,3
1963/1964,24,Borussia Dortmund,VfB Stuttgart,7,1
1963/1964,24,1. FC Kaiserslautern,1. FC Nürnberg,3,1
1963/1964,24,TSV 1860 München,SC Preußen Münster,3,1
1963/1964,24,Eintracht Frankfurt,Hertha BSC,4,0
1963/1964,24,Karlsruher SC,1. FC Saarbrücken,2,2
1963/1964,24,SV Werder Bremen,FC Schalke 04,1,0
1963/1964,24,Meidericher SV,1. FC Cologne,2,2
1963/1964,24,Eintracht Braunschweig,Hamburger SV,2,1
1963/1964,25,1. FC Cologne,Eintracht Braunschweig,4,1
1963/1964,25,VfB Stuttgart,1. FC Kaiserslautern,4,0
1963/1964,25,Hamburger SV,Meidericher SV,3,3
1963/1964,25,FC Schalke 04,Eintracht Frankfurt,1,2
1963/1964,25,1. FC Saarbrücken,TSV 1860 München,1,2
1963/1964,25,SC Preußen Münster,Karlsruher SC,0,0
1963/1964,25,1. FC Nürnberg,Borussia Dortmund,4,0
1963/1964,25,Hertha BSC,SV Werder Bremen,5,2
1963/1964,26,1. FC Nürnberg,VfB Stuttgart,0,0
1963/1964,26,Hertha BSC,FC Schalke 04,1,0
1963/1964,26,Karlsruher SC,TSV 1860 München,1,0
1963/1964,26,1. FC Kaiserslautern,Borussia Dortmund,0,1
1963/1964,26,SC Preußen Münster,1. FC Saarbrücken,2,1
1963/1964,26,Meidericher SV,Eintracht Braunschweig,5,1
1963/1964,26,Hamburger SV,1. FC Cologne,1,1
1963/1964,26,Eintracht Frankfurt,SV Werder Bremen,7,0
1963/1964,27,1. FC Cologne,1. FC Nürnberg,5,0
1963/1964,27,VfB Stuttgart,Hamburger SV,2,2
1963/1964,27,Borussia Dortmund,Meidericher SV,0,0
1963/1964,27,TSV 1860 München,Eintracht Frankfurt,1,1
1963/1964,27,FC Schalke 04,SC Preußen Münster,1,2
1963/1964,27,Eintracht Braunschweig,1. FC Kaiserslautern,0,1
1963/1964,27,1. FC Saarbrücken,Hertha BSC,3,0
1963/1964,27,SV Werder Bremen,Karlsruher SC,0,0
1963/1964,28,Hamburger SV,1. FC Kaiserslautern,7,3
1963/1964,28,TSV 1860 München,FC Schalke 04,7,1
1963/1964,28,Karlsruher SC,Hertha BSC,1,1
1963/1964,28,Eintracht Braunschweig,VfB Stuttgart,2,0
1963/1964,28,Meidericher SV,1. FC Nürnberg,0,0
1963/1964,28,1. FC Cologne,Borussia Dortmund,5,2
1963/1964,28,1. FC Saarbrücken,SV Werder Bremen,3,2
1963/1964,28,SC Preußen Münster,Eintracht Frankfurt,1,3
1963/1964,29,Borussia Dortmund,Hamburger SV,5,2
1963/1964,29,1. FC Kaiserslautern,1. FC Cologne,3,3
1963/1964,29,Eintracht Frankfurt,1. FC Saarbrücken,3,1
1963/1964,29,Hertha BSC,TSV 1860 München,3,1
1963/1964,29,VfB Stuttgart,Meidericher SV,1,2
1963/1964,29,SV Werder Bremen,SC Preußen Münster,4,2
1963/1964,29,FC Schalke 04,Karlsruher SC,2,1
1963/1964,29,1. FC Nürnberg,Eintracht Braunschweig,1,0
1963/1964,30,Eintracht Braunschweig,Borussia Dortmund,2,0
1963/1964,30,Karlsruher SC,Eintracht Frankfurt,1,2
1963/1964,30,TSV 1860 München,SV Werder Bremen,3,2
1963/1964,30,1. FC Saarbrücken,FC Schalke 04,1,1
1963/1964,30,SC Preußen Münster,Hertha BSC,4,2
1963/1964,30,Meidericher SV,1. FC Kaiserslautern,3,0
1963/1964,30,1. FC Cologne,VfB Stuttgart,2,1
1963/1964,30,Hamburger SV,1. FC Nürnberg,2,2
1964/1965,1,1. FC Kaiserslautern,SV Werder Bremen,2,1
1964/1965,1,Hamburger SV,VfB Stuttgart,2,2
1964/1965,1,Borussia Dortmund,Hannover 96,0,2
1964/1965,1,Eintracht Braunschweig,TSV 1860 München,1,1
1964/1965,1,Karlsruher SC,Meidericher SV,2,1
1964/1965,1,1. FC Nürnberg,Borussia Neunkirchen,2,0
1964/1965,1,Eintracht Frankfurt,FC Schalke 04,2,2
1964/1965,1,1. FC Cologne,Hertha BSC,2,3
1964/1965,2,TSV 1860 München,Eintracht Frankfurt,0,1
1964/1965,2,SV Werder Bremen,Eintracht Braunschweig,5,1
1964/1965,2,Meidericher SV,1. FC Kaiserslautern,3,1
1964/1965,2,Borussia Neunkirchen,Borussia Dortmund,1,2
1964/1965,2,FC Schalke 04,Karlsruher SC,1,1
1964/1965,2,Hertha BSC,Hamburger SV,0,0
1964/1965,2,Hannover 96,1. FC Cologne,2,0
1964/1965,2,VfB Stuttgart,1. FC Nürnberg,3,1
1964/1965,3,1. FC Nürnberg,Hertha BSC,2,0
1964/1965,3,1. FC Cologne,Borussia Neunkirchen,4,3
1964/1965,3,Karlsruher SC,TSV 1860 München,1,5
1964/1965,3,1. FC Kaiserslautern,FC Schalke 04,3,0
1964/1965,3,Borussia Dortmund,VfB Stuttgart,1,0
1964/1965,3,Eintracht Frankfurt,SV Werder Bremen,0,2
1964/1965,3,Eintracht Braunschweig,Meidericher SV,0,1
1964/1965,3,Hamburger SV,Hannover 96,3,0
1964/1965,4,Hertha BSC,Borussia Dortmund,0,0
1964/1965,4,Hannover 96,1. FC Nürnberg,2,2
1964/1965,4,VfB Stuttgart,1. FC Cologne,3,3
1964/1965,4,TSV 1860 München,1. FC Kaiserslautern,2,2
1964/1965,4,FC Schalke 04,Eintracht Braunschweig,0,3
1964/1965,4,Meidericher SV,Eintracht Frankfurt,1,3
1964/1965,4,Borussia Neunkirchen,Hamburger SV,3,1
1964/1965,4,SV Werder Bremen,Karlsruher SC,1,0
1964/1965,5,Borussia Dortmund,TSV 1860 München,1,1
1964/1965,5,Eintracht Frankfurt,Karlsruher SC,0,7
1964/1965,5,1. FC Nürnberg,FC Schalke 04,3,2
1964/1965,5,Hamburger SV,Meidericher SV,3,0
1964/1965,5,1. FC Cologne,SV Werder Bremen,4,2
1964/1965,5,VfB Stuttgart,Hertha BSC,1,1
1964/1965,5,Eintracht Braunschweig,Borussia Neunkirchen,1,0
1964/1965,5,1. FC Kaiserslautern,Hannover 96,1,0
1964/1965,6,SV Werder Bremen,Hamburger SV,0,0
1964/1965,6,TSV 1860 München,1. FC Nürnberg,2,0
1964/1965,6,Meidericher SV,1. FC Cologne,0,3
1964/1965,6,FC Schalke 04,Borussia Dortmund,2,6
1964/1965,6,Borussia Neunkirchen,1. FC Kaiserslautern,0,3
1964/1965,6,Hertha BSC,Eintracht Frankfurt,1,3
1964/1965,6,Hannover 96,Eintracht Braunschweig,2,2
1964/1965,6,Karlsruher SC,VfB Stuttgart,0,0
1964/1965,7,1. FC Cologne,Eintracht Braunschweig,5,1
1964/1965,7,Hertha BSC,TSV 1860 München,2,1
1964/1965,7,Borussia Dortmund,1. FC Kaiserslautern,3,2
1964/1965,7,1. FC Nürnberg,Karlsruher SC,4,1
1964/1965,7,Hannover 96,SV Werder Bremen,1,2
1964/1965,7,Hamburger SV,Eintracht Frankfurt,2,1
1964/1965,7,VfB Stuttgart,FC Schalke 04,2,1
1964/1965,7,Borussia Neunkirchen,Meidericher SV,4,2
1964/1965,8,Eintracht Frankfurt,1. FC Cologne,1,4
1964/1965,8,SV Werder Bremen,Borussia Neunkirchen,2,0
1964/1965,8,1. FC Kaiserslautern,1. FC Nürnberg,3,2
1964/1965,8,Meidericher SV,VfB Stuttgart,3,3
1964/1965,8,Karlsruher SC,Hamburger SV,2,2
1964/1965,8,FC Schalke 04,Hertha BSC,3,0
1964/1965,8,TSV 1860 München,Hannover 96,4,0
1964/1965,8,Eintracht Braunschweig,Borussia Dortmund,0,1
1964/1965,9,Hannover 96,FC Schalke 04,1,0
1964/1965,9,1. FC Cologne,Karlsruher SC,4,1
1964/1965,9,Borussia Neunkirchen,TSV 1860 München,3,0
1964/1965,9,VfB Stuttgart,SV Werder Bremen,1,1
1964/1965,9,1. FC Nürnberg,Eintracht Braunschweig,3,2
1964/1965,9,Borussia Dortmund,Eintracht Frankfurt,1,3
1964/1965,9,Hamburger SV,1. FC Kaiserslautern,3,2
1964/1965,9,Hertha BSC,Meidericher SV,2,2
1964/1965,10,TSV 1860 München,VfB Stuttgart,1,0
1964/1965,10,Eintracht Braunschweig,Hamburger SV,2,0
1964/1965,10,Meidericher SV,Hannover 96,1,0
1964/1965,10,SV Werder Bremen,Hertha BSC,5,1
1964/1965,10,FC Schalke 04,Borussia Neunkirchen,1,1
1964/1965,10,1. FC Kaiserslautern,1. FC Cologne,2,2
1964/1965,10,Karlsruher SC,Borussia Dortmund,2,0
1964/1965,10,Eintracht Frankfurt,1. FC Nürnberg,1,1
1964/1965,11,Borussia Neunkirchen,Karlsruher SC,1,0
1964/1965,11,Borussia Dortmund,Meidericher SV,0,0
1964/1965,11,1. FC Nürnberg,Hamburger SV,2,3
1964/1965,11,Hertha BSC,1. FC Kaiserslautern,5,3
1964/1965,11,1. FC Cologne,TSV 1860 München,1,1
1964/1965,11,SV Werder Bremen,FC Schalke 04,2,2
1964/1965,11,VfB Stuttgart,Eintracht Braunschweig,3,1
1964/1965,11,Hannover 96,Eintracht Frankfurt,3,2
1964/1965,12,Eintracht Frankfurt,Borussia Neunkirchen,1,0
1964/1965,12,Karlsruher SC,Hannover 96,2,3
1964/1965,12,Eintracht Braunschweig,Hertha BSC,1,1
1964/1965,12,FC Schalke 04,1. FC Cologne,2,3
1964/1965,12,Hamburger SV,Borussia Dortmund,1,4
1964/1965,12,Meidericher SV,1. FC Nürnberg,2,0
1964/1965,12,TSV 1860 München,SV Werder Bremen,3,1
1964/1965,12,1. FC Kaiserslautern,VfB Stuttgart,2,1
1964/1965,13,1. FC Cologne,Hamburger SV,3,0
1964/1965,13,Eintracht Braunschweig,1. FC Kaiserslautern,2,0
1964/1965,13,Borussia Neunkirchen,Hannover 96,2,1
1964/1965,13,VfB Stuttgart,Eintracht Frankfurt,1,2
1964/1965,13,FC Schalke 04,TSV 1860 München,2,2
1964/1965,13,1. FC Nürnberg,Borussia Dortmund,1,0
1964/1965,13,Hertha BSC,Karlsruher SC,2,1
1964/1965,13,SV Werder Bremen,Meidericher SV,1,0
1964/1965,14,Hamburger SV,TSV 1860 München,3,2
1964/1965,14,Hannover 96,VfB Stuttgart,2,1
1964/1965,14,Meidericher SV,FC Schalke 04,2,1
1964/1965,14,Borussia Dortmund,SV Werder Bremen,1,2
1964/1965,14,Karlsruher SC,1. FC Kaiserslautern,6,1
1964/1965,14,Borussia Neunkirchen,Hertha BSC,2,2
1964/1965,14,Eintracht Frankfurt,Eintracht Braunschweig,2,2
1964/1965,14,1. FC Nürnberg,1. FC Cologne,3,0
1964/1965,15,TSV 1860 München,Meidericher SV,2,1
1964/1965,15,FC Schalke 04,Hamburger SV,3,1
1964/1965,15,SV Werder Bremen,1. FC Nürnberg,1,1
1964/1965,15,Hertha BSC,Hannover 96,1,1
1964/1965,15,VfB Stuttgart,Borussia Neunkirchen,3,2
1964/1965,15,1. FC Kaiserslautern,Eintracht Frankfurt,0,1
1964/1965,15,1. FC Cologne,Borussia Dortmund,3,3
1964/1965,15,Eintracht Braunschweig,Karlsruher SC,3,0
1964/1965,16,Hannover 96,Borussia Dortmund,2,0
1964/1965,16,Hertha BSC,1. FC Cologne,1,3
1964/1965,16,FC Schalke 04,Eintracht Frankfurt,1,1
1964/1965,16,TSV 1860 München,Eintracht Braunschweig,2,0
1964/1965,16,Meidericher SV,Karlsruher SC,1,1
1964/1965,16,Borussia Neunkirchen,1. FC Nürnberg,1,1
1964/1965,16,SV Werder Bremen,1. FC Kaiserslautern,1,1
1964/1965,16,VfB Stuttgart,Hamburger SV,2,4
1964/1965,17,1. FC Kaiserslautern,Meidericher SV,2,0
1964/1965,17,Borussia Dortmund,Borussia Neunkirchen,5,1
1964/1965,17,Karlsruher SC,FC Schalke 04,2,2
1964/1965,17,Hamburger SV,Hertha BSC,4,1
1964/1965,17,1. FC Cologne,Hannover 96,0,1
1964/1965,17,1. FC Nürnberg,VfB Stuttgart,1,1
1964/1965,17,Eintracht Braunschweig,SV Werder Bremen,1,1
1964/1965,17,Eintracht Frankfurt,TSV 1860 München,4,1
1964/1965,18,VfB Stuttgart,Borussia Dortmund,3,2
1964/1965,18,SV Werder Bremen,Eintracht Frankfurt,2,2
1964/1965,18,FC Schalke 04,1. FC Kaiserslautern,1,0
1964/1965,18,Meidericher SV,Eintracht Braunschweig,2,0
1964/1965,18,TSV 1860 München,Karlsruher SC,9,0
1964/1965,18,Borussia Neunkirchen,1. FC Cologne,1,1
1964/1965,18,Hertha BSC,1. FC Nürnberg,1,2
1964/1965,18,Hannover 96,Hamburger SV,1,2
1964/1965,19,Hamburger SV,Borussia Neunkirchen,1,2
1964/1965,19,Borussia Dortmund,Hertha BSC,6,3
1964/1965,19,Karlsruher SC,SV Werder Bremen,0,2
1964/1965,19,Eintracht Braunschweig,FC Schalke 04,1,2
1964/1965,19,1. FC Kaiserslautern,TSV 1860 München,1,2
1964/1965,19,Eintracht Frankfurt,Meidericher SV,2,3
1964/1965,19,1. FC Nürnberg,Hannover 96,1,0
1964/1965,19,1. FC Cologne,VfB Stuttgart,2,1
1964/1965,20,Borussia Neunkirchen,Eintracht Braunschweig,0,0
1964/1965,20,FC Schalke 04,1. FC Nürnberg,1,3
1964/1965,20,SV Werder Bremen,1. FC Cologne,0,0
1964/1965,20,Hertha BSC,VfB Stuttgart,0,0
1964/1965,20,TSV 1860 München,Borussia Dortmund,4,4
1964/1965,20,Karlsruher SC,Eintracht Frankfurt,3,1
1964/1965,20,Meidericher SV,Hamburger SV,3,2
1964/1965,20,Hannover 96,1. FC Kaiserslautern,4,0
1964/1965,21,Borussia Dortmund,FC Schalke 04,4,0
1964/1965,21,1. FC Kaiserslautern,Borussia Neunkirchen,2,0
1964/1965,21,Eintracht Braunschweig,Hannover 96,2,2
1964/1965,21,Eintracht Frankfurt,Hertha BSC,3,0
1964/1965,21,1. FC Nürnberg,TSV 1860 München,2,2
1964/1965,21,Hamburger SV,SV Werder Bremen,0,4
1964/1965,21,1. FC Cologne,Meidericher SV,1,2
1964/1965,21,VfB Stuttgart,Karlsruher SC,1,2
1964/1965,22,TSV 1860 München,Hertha BSC,6,4
1964/1965,22,Meidericher SV,Borussia Neunkirchen,1,1
1964/1965,22,FC Schalke 04,VfB Stuttgart,3,1
1964/1965,22,Eintracht Frankfurt,Hamburger SV,2,1
1964/1965,22,SV Werder Bremen,Hannover 96,3,0
1964/1965,22,Eintracht Braunschweig,1. FC Cologne,1,1
1964/1965,22,Karlsruher SC,1. FC Nürnberg,1,1
1964/1965,22,1. FC Kaiserslautern,Borussia Dortmund,1,3
1964/1965,23,Hamburger SV,Karlsruher SC,2,1
1964/1965,23,Borussia Dortmund,Eintracht Braunschweig,5,4
1964/1965,23,Borussia Neunkirchen,SV Werder Bremen,1,1
1964/1965,23,1. FC Cologne,Eintracht Frankfurt,3,4
1964/1965,23,VfB Stuttgart,Meidericher SV,4,2
1964/1965,23,Hannover 96,TSV 1860 München,0,2
1964/1965,23,1. FC Nürnberg,1. FC Kaiserslautern,1,0
1964/1965,23,Hertha BSC,FC Schalke 04,2,1
1964/1965,24,TSV 1860 München,Borussia Neunkirchen,4,2
1964/1965,24,Meidericher SV,Hertha BSC,2,2
1964/1965,24,Eintracht Frankfurt,Borussia Dortmund,0,2
1964/1965,24,Eintracht Braunschweig,1. FC Nürnberg,1,0
1964/1965,24,SV Werder Bremen,VfB Stuttgart,1,0
1964/1965,24,Karlsruher SC,1. FC Cologne,2,4
1964/1965,24,1. FC Kaiserslautern,Hamburger SV,2,1
1964/1965,24,FC Schalke 04,Hannover 96,2,2
1964/1965,25,Hamburger SV,Eintracht Braunschweig,0,1
1964/1965,25,Borussia Dortmund,Karlsruher SC,5,1
1964/1965,25,1. FC Nürnberg,Eintracht Frankfurt,0,0
1964/1965,25,VfB Stuttgart,TSV 1860 München,3,0
1964/1965,25,Hannover 96,Meidericher SV,2,0
1964/1965,25,1. FC Cologne,1. FC Kaiserslautern,3,0
1964/1965,25,Borussia Neunkirchen,FC Schalke 04,3,2
